label,packet_size,duration,protocol,network,protocol_code,network_code,label_code
reel,1292,1755622150.805446,UDP,good,1.0,0,1
reel,1292,1755622150.811316,UDP,good,1.0,0,1
reel,1292,1755622150.811316,UDP,good,1.0,0,1
reel,1292,1755622150.811316,UDP,good,1.0,0,1
reel,1292,1755622150.819775,UDP,good,1.0,0,1
reel,1292,1755622150.819775,UDP,good,1.0,0,1
reel,1292,1755622150.819775,UDP,good,1.0,0,1
reel,1292,1755622150.819775,UDP,good,1.0,0,1
reel,95,1755622150.820001,UDP,good,1.0,0,1
reel,1292,1755622150.825002,UDP,good,1.0,0,1
reel,1292,1755622150.825002,UDP,good,1.0,0,1
reel,1292,1755622150.825002,UDP,good,1.0,0,1
reel,1292,1755622150.831372,UDP,good,1.0,0,1
reel,1292,1755622150.831372,UDP,good,1.0,0,1
reel,1292,1755622150.831372,UDP,good,1.0,0,1
reel,1292,1755622150.840687,UDP,good,1.0,0,1
reel,1292,1755622150.840687,UDP,good,1.0,0,1
reel,1292,1755622150.840687,UDP,good,1.0,0,1
reel,96,1755622150.844769,UDP,good,1.0,0,1
reel,54,1755622150.854787,TCP,good,0.0,0,1
reel,1414,1755622150.854832,TCP,good,0.0,0,1
reel,1414,1755622150.854832,TCP,good,0.0,0,1
reel,1414,1755622150.854832,TCP,good,0.0,0,1
reel,1292,1755622150.904151,UDP,good,1.0,0,1
reel,1292,1755622150.904151,UDP,good,1.0,0,1
reel,1292,1755622150.904151,UDP,good,1.0,0,1
reel,1292,1755622150.904151,UDP,good,1.0,0,1
reel,1292,1755622150.904151,UDP,good,1.0,0,1
reel,96,1755622150.922119,UDP,good,1.0,0,1
reel,54,1755622151.01577,TCP,good,0.0,0,1
reel,54,1755622151.01577,TCP,good,0.0,0,1
reel,1414,1755622151.015899,TCP,good,0.0,0,1
reel,1414,1755622151.015899,TCP,good,0.0,0,1
reel,1414,1755622151.015899,TCP,good,0.0,0,1
reel,1414,1755622151.015899,TCP,good,0.0,0,1
reel,54,1755622151.017277,TCP,good,0.0,0,1
reel,1414,1755622151.017299,TCP,good,0.0,0,1
reel,1414,1755622151.017299,TCP,good,0.0,0,1
reel,1414,1755622151.017299,TCP,good,0.0,0,1
reel,1292,1755622151.017418,UDP,good,1.0,0,1
reel,54,1755622151.02611,TCP,good,0.0,0,1
reel,1414,1755622151.026243,TCP,good,0.0,0,1
reel,1414,1755622151.026243,TCP,good,0.0,0,1
reel,106,1755622151.044899,TCP,good,0.0,0,1
reel,96,1755622151.044981,UDP,good,1.0,0,1
reel,54,1755622151.059844,TCP,good,0.0,0,1
reel,1414,1755622151.05998,TCP,good,0.0,0,1
reel,1414,1755622151.05998,TCP,good,0.0,0,1
reel,1292,1755622151.124543,UDP,good,1.0,0,1
reel,54,1755622151.124543,TCP,good,0.0,0,1
reel,1414,1755622151.124785,TCP,good,0.0,0,1
reel,96,1755622151.152549,UDP,good,1.0,0,1
reel,54,1755622151.204985,TCP,good,0.0,0,1
reel,1414,1755622151.205042,TCP,good,0.0,0,1
reel,1414,1755622151.205042,TCP,good,0.0,0,1
reel,1414,1755622151.205042,TCP,good,0.0,0,1
reel,91,1755622151.231065,UDP,good,1.0,0,1
reel,54,1755622151.292732,TCP,good,0.0,0,1
reel,1414,1755622151.292807,TCP,good,0.0,0,1
reel,1414,1755622151.292807,TCP,good,0.0,0,1
reel,54,1755622151.31814,TCP,good,0.0,0,1
reel,1414,1755622151.318198,TCP,good,0.0,0,1
reel,1414,1755622151.318198,TCP,good,0.0,0,1
reel,1414,1755622151.318198,TCP,good,0.0,0,1
reel,54,1755622151.36826,TCP,good,0.0,0,1
reel,1414,1755622151.368306,TCP,good,0.0,0,1
reel,54,1755622151.412097,TCP,good,0.0,0,1
reel,54,1755622151.412097,TCP,good,0.0,0,1
reel,54,1755622151.412097,TCP,good,0.0,0,1
reel,1414,1755622151.412152,TCP,good,0.0,0,1
reel,1414,1755622151.412152,TCP,good,0.0,0,1
reel,1414,1755622151.412152,TCP,good,0.0,0,1
reel,1414,1755622151.412152,TCP,good,0.0,0,1
reel,1414,1755622151.412152,TCP,good,0.0,0,1
reel,1414,1755622151.412152,TCP,good,0.0,0,1
reel,1414,1755622151.412152,TCP,good,0.0,0,1
reel,54,1755622151.43619,TCP,good,0.0,0,1
reel,1414,1755622151.436233,TCP,good,0.0,0,1
reel,1414,1755622151.436233,TCP,good,0.0,0,1
reel,1414,1755622151.436233,TCP,good,0.0,0,1
reel,54,1755622151.473379,TCP,good,0.0,0,1
reel,1414,1755622151.473491,TCP,good,0.0,0,1
reel,1414,1755622151.473491,TCP,good,0.0,0,1
reel,54,1755622151.52664,TCP,good,0.0,0,1
reel,54,1755622151.52664,TCP,good,0.0,0,1
reel,54,1755622151.52664,TCP,good,0.0,0,1
reel,1414,1755622151.526824,TCP,good,0.0,0,1
reel,1414,1755622151.526824,TCP,good,0.0,0,1
reel,1414,1755622151.526824,TCP,good,0.0,0,1
reel,1414,1755622151.526824,TCP,good,0.0,0,1
reel,66,1755622151.540815,TCP,good,0.0,0,1
reel,54,1755622151.559408,TCP,good,0.0,0,1
reel,1414,1755622151.559476,TCP,good,0.0,0,1
reel,1414,1755622151.559476,TCP,good,0.0,0,1
reel,74,1755622151.580459,TCP,good,0.0,0,1
reel,1292,1755622151.581427,UDP,good,1.0,0,1
reel,96,1755622151.606863,UDP,good,1.0,0,1
reel,66,1755622151.639957,TCP,good,0.0,0,1
reel,1414,1755622151.639994,TCP,good,0.0,0,1
reel,66,1755622151.66204,TCP,good,0.0,0,1
reel,66,1755622151.68942,TCP,good,0.0,0,1
reel,1414,1755622151.68946,TCP,good,0.0,0,1
reel,54,1755622151.691774,TCP,good,0.0,0,1
reel,1414,1755622151.691786,TCP,good,0.0,0,1
reel,1414,1755622151.691786,TCP,good,0.0,0,1
reel,54,1755622151.702866,TCP,good,0.0,0,1
reel,1414,1755622151.702945,TCP,good,0.0,0,1
reel,1414,1755622151.702945,TCP,good,0.0,0,1
reel,1414,1755622151.702945,TCP,good,0.0,0,1
reel,54,1755622151.767052,TCP,good,0.0,0,1
reel,1414,1755622151.767089,TCP,good,0.0,0,1
reel,1414,1755622151.767089,TCP,good,0.0,0,1
reel,1414,1755622151.767089,TCP,good,0.0,0,1
reel,86,1755622151.783861,TCP,good,0.0,0,1
reel,1292,1755622151.783861,UDP,good,1.0,0,1
reel,1292,1755622151.785659,UDP,good,1.0,0,1
reel,1292,1755622151.787677,UDP,good,1.0,0,1
reel,1292,1755622151.792351,UDP,good,1.0,0,1
reel,96,1755622151.812431,UDP,good,1.0,0,1
reel,54,1755622151.814916,TCP,good,0.0,0,1
reel,1292,1755622151.814916,UDP,good,1.0,0,1
reel,54,1755622151.814916,TCP,good,0.0,0,1
reel,1292,1755622151.814916,UDP,good,1.0,0,1
reel,1414,1755622151.814968,TCP,good,0.0,0,1
reel,1414,1755622151.814968,TCP,good,0.0,0,1
reel,1414,1755622151.814968,TCP,good,0.0,0,1
reel,1414,1755622151.814968,TCP,good,0.0,0,1
reel,1292,1755622151.815133,UDP,good,1.0,0,1
reel,1292,1755622151.815133,UDP,good,1.0,0,1
reel,1292,1755622151.815275,UDP,good,1.0,0,1
reel,1292,1755622151.815427,UDP,good,1.0,0,1
reel,1292,1755622151.815582,UDP,good,1.0,0,1
reel,1292,1755622151.815736,UDP,good,1.0,0,1
reel,1292,1755622151.815873,UDP,good,1.0,0,1
reel,1292,1755622151.816028,UDP,good,1.0,0,1
reel,95,1755622151.816085,UDP,good,1.0,0,1
reel,1292,1755622151.81619,UDP,good,1.0,0,1
reel,1292,1755622151.816325,UDP,good,1.0,0,1
reel,1292,1755622151.816576,UDP,good,1.0,0,1
reel,1292,1755622151.816805,UDP,good,1.0,0,1
reel,1292,1755622151.816991,UDP,good,1.0,0,1
reel,1292,1755622151.81994,UDP,good,1.0,0,1
reel,1292,1755622151.81994,UDP,good,1.0,0,1
reel,1292,1755622151.827468,UDP,good,1.0,0,1
reel,1292,1755622151.831522,UDP,good,1.0,0,1
reel,1292,1755622151.831522,UDP,good,1.0,0,1
reel,95,1755622151.831812,UDP,good,1.0,0,1
reel,1292,1755622151.834307,UDP,good,1.0,0,1
reel,1292,1755622151.834307,UDP,good,1.0,0,1
reel,1292,1755622151.834307,UDP,good,1.0,0,1
reel,1292,1755622151.83486,UDP,good,1.0,0,1
reel,1292,1755622151.836852,UDP,good,1.0,0,1
reel,1292,1755622151.837763,UDP,good,1.0,0,1
reel,54,1755622151.843904,TCP,good,0.0,0,1
reel,1292,1755622151.843904,UDP,good,1.0,0,1
reel,1414,1755622151.843941,TCP,good,0.0,0,1
reel,1414,1755622151.843941,TCP,good,0.0,0,1
reel,1292,1755622151.846883,UDP,good,1.0,0,1
reel,1292,1755622151.846883,UDP,good,1.0,0,1
reel,1292,1755622151.846883,UDP,good,1.0,0,1
reel,95,1755622151.847043,UDP,good,1.0,0,1
reel,1292,1755622151.851626,UDP,good,1.0,0,1
reel,1292,1755622151.851626,UDP,good,1.0,0,1
reel,1292,1755622151.851626,UDP,good,1.0,0,1
reel,1292,1755622151.856922,UDP,good,1.0,0,1
reel,1292,1755622151.856922,UDP,good,1.0,0,1
reel,1292,1755622151.86026,UDP,good,1.0,0,1
reel,1292,1755622151.861464,UDP,good,1.0,0,1
reel,1292,1755622151.865258,UDP,good,1.0,0,1
reel,1292,1755622151.865258,UDP,good,1.0,0,1
reel,1292,1755622151.868126,UDP,good,1.0,0,1
reel,95,1755622151.868587,UDP,good,1.0,0,1
reel,1292,1755622151.871578,UDP,good,1.0,0,1
reel,1292,1755622151.871578,UDP,good,1.0,0,1
reel,54,1755622151.875594,TCP,good,0.0,0,1
reel,1292,1755622151.875594,UDP,good,1.0,0,1
reel,1292,1755622151.875594,UDP,good,1.0,0,1
reel,1292,1755622151.875594,UDP,good,1.0,0,1
reel,1414,1755622151.875651,TCP,good,0.0,0,1
reel,1414,1755622151.875651,TCP,good,0.0,0,1
reel,1414,1755622151.875651,TCP,good,0.0,0,1
reel,1292,1755622151.880788,UDP,good,1.0,0,1
reel,1292,1755622151.882483,UDP,good,1.0,0,1
reel,1292,1755622151.882483,UDP,good,1.0,0,1
reel,1292,1755622151.883925,UDP,good,1.0,0,1
reel,1292,1755622151.883925,UDP,good,1.0,0,1
reel,95,1755622151.884104,UDP,good,1.0,0,1
reel,1292,1755622151.888638,UDP,good,1.0,0,1
reel,1292,1755622151.906826,UDP,good,1.0,0,1
reel,54,1755622151.906826,TCP,good,0.0,0,1
reel,1292,1755622151.906826,UDP,good,1.0,0,1
reel,1292,1755622151.906826,UDP,good,1.0,0,1
reel,1292,1755622151.906826,UDP,good,1.0,0,1
reel,96,1755622151.90684,UDP,good,1.0,0,1
reel,1414,1755622151.90696,TCP,good,0.0,0,1
reel,1414,1755622151.90696,TCP,good,0.0,0,1
reel,1292,1755622151.908148,UDP,good,1.0,0,1
reel,1292,1755622151.908148,UDP,good,1.0,0,1
reel,1292,1755622151.908148,UDP,good,1.0,0,1
reel,1292,1755622151.908148,UDP,good,1.0,0,1
reel,1292,1755622151.909032,UDP,good,1.0,0,1
reel,1292,1755622151.909032,UDP,good,1.0,0,1
reel,1292,1755622151.909032,UDP,good,1.0,0,1
reel,95,1755622151.909233,UDP,good,1.0,0,1
reel,1292,1755622151.929374,UDP,good,1.0,0,1
reel,1292,1755622151.929374,UDP,good,1.0,0,1
reel,1292,1755622151.929374,UDP,good,1.0,0,1
reel,1292,1755622151.929522,UDP,good,1.0,0,1
reel,1292,1755622151.929522,UDP,good,1.0,0,1
reel,95,1755622151.929659,UDP,good,1.0,0,1
reel,1292,1755622151.929974,UDP,good,1.0,0,1
reel,54,1755622151.932754,TCP,good,0.0,0,1
reel,1414,1755622151.932781,TCP,good,0.0,0,1
reel,1414,1755622151.932781,TCP,good,0.0,0,1
reel,54,1755622151.947294,TCP,good,0.0,0,1
reel,1414,1755622151.947337,TCP,good,0.0,0,1
reel,1414,1755622151.947337,TCP,good,0.0,0,1
reel,96,1755622151.954196,UDP,good,1.0,0,1
reel,86,1755622152.003898,TCP,good,0.0,0,1
reel,54,1755622152.005343,TCP,good,0.0,0,1
reel,1292,1755622152.005343,UDP,good,1.0,0,1
reel,1414,1755622152.005383,TCP,good,0.0,0,1
reel,1414,1755622152.005383,TCP,good,0.0,0,1
reel,1414,1755622152.005383,TCP,good,0.0,0,1
reel,1292,1755622152.012406,UDP,good,1.0,0,1
reel,96,1755622152.032305,UDP,good,1.0,0,1
reel,54,1755622152.033329,TCP,good,0.0,0,1
reel,1414,1755622152.033373,TCP,good,0.0,0,1
reel,1414,1755622152.033373,TCP,good,0.0,0,1
reel,54,1755622152.056774,TCP,good,0.0,0,1
reel,1414,1755622152.056813,TCP,good,0.0,0,1
reel,1414,1755622152.056813,TCP,good,0.0,0,1
reel,54,1755622152.081742,TCP,good,0.0,0,1
reel,1414,1755622152.081798,TCP,good,0.0,0,1
reel,1414,1755622152.081798,TCP,good,0.0,0,1
reel,54,1755622152.112355,TCP,good,0.0,0,1
reel,1414,1755622152.112476,TCP,good,0.0,0,1
reel,1414,1755622152.112476,TCP,good,0.0,0,1
reel,88,1755622152.135259,UDP,good,1.0,0,1
reel,54,1755622152.158641,TCP,good,0.0,0,1
reel,1414,1755622152.158685,TCP,good,0.0,0,1
reel,1414,1755622152.158685,TCP,good,0.0,0,1
reel,1414,1755622152.158685,TCP,good,0.0,0,1
reel,54,1755622152.232807,TCP,good,0.0,0,1
reel,1414,1755622152.232843,TCP,good,0.0,0,1
reel,1414,1755622152.232843,TCP,good,0.0,0,1
reel,54,1755622152.235231,TCP,good,0.0,0,1
reel,54,1755622152.235231,TCP,good,0.0,0,1
reel,54,1755622152.235231,TCP,good,0.0,0,1
reel,54,1755622152.235231,TCP,good,0.0,0,1
reel,1414,1755622152.235305,TCP,good,0.0,0,1
reel,1414,1755622152.235305,TCP,good,0.0,0,1
reel,1414,1755622152.235305,TCP,good,0.0,0,1
reel,1414,1755622152.235305,TCP,good,0.0,0,1
reel,1414,1755622152.235305,TCP,good,0.0,0,1
reel,1414,1755622152.235305,TCP,good,0.0,0,1
reel,1414,1755622152.235305,TCP,good,0.0,0,1
reel,1414,1755622152.235305,TCP,good,0.0,0,1
reel,54,1755622152.277034,TCP,good,0.0,0,1
reel,1414,1755622152.277071,TCP,good,0.0,0,1
reel,1414,1755622152.277071,TCP,good,0.0,0,1
reel,1414,1755622152.277071,TCP,good,0.0,0,1
reel,91,1755622152.343736,UDP,good,1.0,0,1
reel,54,1755622152.371617,TCP,good,0.0,0,1
reel,1414,1755622152.371658,TCP,good,0.0,0,1
reel,1414,1755622152.371658,TCP,good,0.0,0,1
reel,54,1755622152.416379,TCP,good,0.0,0,1
reel,1414,1755622152.416433,TCP,good,0.0,0,1
reel,54,1755622152.419993,TCP,good,0.0,0,1
reel,1414,1755622152.420035,TCP,good,0.0,0,1
reel,1414,1755622152.420035,TCP,good,0.0,0,1
reel,54,1755622152.462816,TCP,good,0.0,0,1
reel,1414,1755622152.462882,TCP,good,0.0,0,1
reel,1414,1755622152.462882,TCP,good,0.0,0,1
reel,1292,1755622152.471749,UDP,good,1.0,0,1
reel,54,1755622152.497282,TCP,good,0.0,0,1
reel,1414,1755622152.497343,TCP,good,0.0,0,1
reel,1414,1755622152.497343,TCP,good,0.0,0,1
reel,96,1755622152.498681,UDP,good,1.0,0,1
reel,54,1755622152.508243,TCP,good,0.0,0,1
reel,1414,1755622152.508285,TCP,good,0.0,0,1
reel,1414,1755622152.508285,TCP,good,0.0,0,1
reel,1414,1755622152.508285,TCP,good,0.0,0,1
reel,54,1755622152.532148,TCP,good,0.0,0,1
reel,1414,1755622152.532207,TCP,good,0.0,0,1
reel,1414,1755622152.532207,TCP,good,0.0,0,1
reel,1292,1755622152.550815,UDP,good,1.0,0,1
reel,54,1755622152.553616,TCP,good,0.0,0,1
reel,1292,1755622152.553616,UDP,good,1.0,0,1
reel,1414,1755622152.553662,TCP,good,0.0,0,1
reel,1414,1755622152.553662,TCP,good,0.0,0,1
reel,1292,1755622152.568694,UDP,good,1.0,0,1
reel,1292,1755622152.568694,UDP,good,1.0,0,1
reel,1292,1755622152.568694,UDP,good,1.0,0,1
reel,1292,1755622152.568694,UDP,good,1.0,0,1
reel,95,1755622152.568887,UDP,good,1.0,0,1
reel,1292,1755622152.569077,UDP,good,1.0,0,1
reel,1292,1755622152.569077,UDP,good,1.0,0,1
reel,1292,1755622152.569095,UDP,good,1.0,0,1
reel,1292,1755622152.572105,UDP,good,1.0,0,1
reel,1292,1755622152.572599,UDP,good,1.0,0,1
reel,1292,1755622152.574949,UDP,good,1.0,0,1
reel,1292,1755622152.574949,UDP,good,1.0,0,1
reel,95,1755622152.575132,UDP,good,1.0,0,1
reel,54,1755622152.577713,TCP,good,0.0,0,1
reel,1414,1755622152.577743,TCP,good,0.0,0,1
reel,1414,1755622152.577743,TCP,good,0.0,0,1
reel,1292,1755622152.581818,UDP,good,1.0,0,1
reel,1292,1755622152.581818,UDP,good,1.0,0,1
reel,1292,1755622152.585725,UDP,good,1.0,0,1
reel,1292,1755622152.585725,UDP,good,1.0,0,1
reel,1292,1755622152.585725,UDP,good,1.0,0,1
reel,1292,1755622152.589838,UDP,good,1.0,0,1
reel,55,1755622152.592171,TCP,good,0.0,0,1
reel,75,1755622152.592171,TCP,good,0.0,0,1
reel,75,1755622152.59223,TCP,good,0.0,0,1
reel,1292,1755622152.593748,UDP,good,1.0,0,1
reel,1292,1755622152.593748,UDP,good,1.0,0,1
reel,1292,1755622152.597625,UDP,good,1.0,0,1
reel,1292,1755622152.597625,UDP,good,1.0,0,1
reel,95,1755622152.597893,UDP,good,1.0,0,1
reel,1292,1755622152.599498,UDP,good,1.0,0,1
reel,1292,1755622152.603311,UDP,good,1.0,0,1
reel,1292,1755622152.606479,UDP,good,1.0,0,1
reel,1292,1755622152.606479,UDP,good,1.0,0,1
reel,1292,1755622152.609783,UDP,good,1.0,0,1
reel,1292,1755622152.609783,UDP,good,1.0,0,1
reel,54,1755622152.613717,TCP,good,0.0,0,1
reel,1292,1755622152.613717,UDP,good,1.0,0,1
reel,1292,1755622152.613717,UDP,good,1.0,0,1
reel,1414,1755622152.613771,TCP,good,0.0,0,1
reel,1414,1755622152.613771,TCP,good,0.0,0,1
reel,1292,1755622152.61789,UDP,good,1.0,0,1
reel,1292,1755622152.61789,UDP,good,1.0,0,1
reel,1292,1755622152.61789,UDP,good,1.0,0,1
reel,95,1755622152.618081,UDP,good,1.0,0,1
reel,1292,1755622152.618234,UDP,good,1.0,0,1
reel,1292,1755622152.621789,UDP,good,1.0,0,1
reel,1292,1755622152.624442,UDP,good,1.0,0,1
reel,1292,1755622152.624442,UDP,good,1.0,0,1
reel,1292,1755622152.627193,UDP,good,1.0,0,1
reel,1292,1755622152.630715,UDP,good,1.0,0,1
reel,1292,1755622152.630715,UDP,good,1.0,0,1
reel,1292,1755622152.633313,UDP,good,1.0,0,1
reel,95,1755622152.633457,UDP,good,1.0,0,1
reel,1292,1755622152.633491,UDP,good,1.0,0,1
reel,1292,1755622152.637612,UDP,good,1.0,0,1
reel,1292,1755622152.637612,UDP,good,1.0,0,1
reel,1292,1755622152.641418,UDP,good,1.0,0,1
reel,1292,1755622152.646635,UDP,good,1.0,0,1
reel,54,1755622152.653573,TCP,good,0.0,0,1
reel,1292,1755622152.653573,UDP,good,1.0,0,1
reel,1414,1755622152.65361,TCP,good,0.0,0,1
reel,1414,1755622152.65361,TCP,good,0.0,0,1
reel,1292,1755622152.653753,UDP,good,1.0,0,1
reel,95,1755622152.653798,UDP,good,1.0,0,1
reel,1292,1755622152.653835,UDP,good,1.0,0,1
reel,1292,1755622152.654108,UDP,good,1.0,0,1
reel,1292,1755622152.654257,UDP,good,1.0,0,1
reel,1292,1755622152.654386,UDP,good,1.0,0,1
reel,1292,1755622152.674148,UDP,good,1.0,0,1
reel,1292,1755622152.674148,UDP,good,1.0,0,1
reel,95,1755622152.674439,UDP,good,1.0,0,1
reel,1292,1755622152.674586,UDP,good,1.0,0,1
reel,1292,1755622152.674586,UDP,good,1.0,0,1
reel,1292,1755622152.674586,UDP,good,1.0,0,1
reel,1292,1755622152.674939,UDP,good,1.0,0,1
reel,1292,1755622152.674939,UDP,good,1.0,0,1
reel,54,1755622152.67972,TCP,good,0.0,0,1
reel,1292,1755622152.67972,UDP,good,1.0,0,1
reel,1292,1755622152.67972,UDP,good,1.0,0,1
reel,1292,1755622152.67972,UDP,good,1.0,0,1
reel,1292,1755622152.67972,UDP,good,1.0,0,1
reel,1414,1755622152.679766,TCP,good,0.0,0,1
reel,1414,1755622152.679766,TCP,good,0.0,0,1
reel,1414,1755622152.679766,TCP,good,0.0,0,1
reel,1292,1755622152.679857,UDP,good,1.0,0,1
reel,95,1755622152.680006,UDP,good,1.0,0,1
reel,1292,1755622152.682607,UDP,good,1.0,0,1
reel,1292,1755622152.683599,UDP,good,1.0,0,1
reel,1292,1755622152.683622,UDP,good,1.0,0,1
reel,55,1755622152.686439,TCP,good,0.0,0,1
reel,1292,1755622152.688451,UDP,good,1.0,0,1
reel,1292,1755622152.688572,UDP,good,1.0,0,1
reel,1292,1755622152.688572,UDP,good,1.0,0,1
reel,1292,1755622152.692669,UDP,good,1.0,0,1
reel,96,1755622152.701643,UDP,good,1.0,0,1
reel,54,1755622152.738797,TCP,good,0.0,0,1
reel,54,1755622152.738797,TCP,good,0.0,0,1
reel,1414,1755622152.738845,TCP,good,0.0,0,1
reel,1414,1755622152.738845,TCP,good,0.0,0,1
reel,1414,1755622152.738845,TCP,good,0.0,0,1
reel,1414,1755622152.738845,TCP,good,0.0,0,1
reel,1292,1755622152.738898,UDP,good,1.0,0,1
reel,1292,1755622152.73909,UDP,good,1.0,0,1
reel,54,1755622152.744578,TCP,good,0.0,0,1
reel,1414,1755622152.744617,TCP,good,0.0,0,1
reel,1414,1755622152.744617,TCP,good,0.0,0,1
reel,54,1755622152.751348,TCP,good,0.0,0,1
reel,1414,1755622152.75145,TCP,good,0.0,0,1
reel,1414,1755622152.75145,TCP,good,0.0,0,1
reel,96,1755622152.764262,UDP,good,1.0,0,1
reel,54,1755622152.764429,TCP,good,0.0,0,1
reel,1414,1755622152.76447,TCP,good,0.0,0,1
reel,1414,1755622152.76447,TCP,good,0.0,0,1
reel,54,1755622152.778836,TCP,good,0.0,0,1
reel,1414,1755622152.778935,TCP,good,0.0,0,1
reel,1414,1755622152.778935,TCP,good,0.0,0,1
reel,54,1755622152.799419,TCP,good,0.0,0,1
reel,1414,1755622152.799455,TCP,good,0.0,0,1
reel,1414,1755622152.799455,TCP,good,0.0,0,1
reel,1414,1755622152.799455,TCP,good,0.0,0,1
reel,54,1755622152.805466,TCP,good,0.0,0,1
reel,1414,1755622152.805501,TCP,good,0.0,0,1
reel,1414,1755622152.805501,TCP,good,0.0,0,1
reel,54,1755622152.814236,TCP,good,0.0,0,1
reel,1414,1755622152.814272,TCP,good,0.0,0,1
reel,1414,1755622152.814272,TCP,good,0.0,0,1
reel,54,1755622152.826188,TCP,good,0.0,0,1
reel,1414,1755622152.830248,TCP,good,0.0,0,1
reel,1414,1755622152.830248,TCP,good,0.0,0,1
reel,54,1755622152.862003,TCP,good,0.0,0,1
reel,1414,1755622152.862043,TCP,good,0.0,0,1
reel,1414,1755622152.862043,TCP,good,0.0,0,1
reel,54,1755622152.874159,TCP,good,0.0,0,1
reel,1414,1755622152.874203,TCP,good,0.0,0,1
reel,1414,1755622152.874203,TCP,good,0.0,0,1
reel,54,1755622152.89522,TCP,good,0.0,0,1
reel,1414,1755622152.895265,TCP,good,0.0,0,1
reel,1414,1755622152.895265,TCP,good,0.0,0,1
reel,54,1755622152.995042,TCP,good,0.0,0,1
reel,54,1755622152.995042,TCP,good,0.0,0,1
reel,54,1755622152.995042,TCP,good,0.0,0,1
reel,54,1755622152.995042,TCP,good,0.0,0,1
reel,54,1755622152.995042,TCP,good,0.0,0,1
reel,54,1755622152.995042,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,1414,1755622152.995104,TCP,good,0.0,0,1
reel,54,1755622153.020156,TCP,good,0.0,0,1
reel,1414,1755622153.020195,TCP,good,0.0,0,1
reel,1414,1755622153.020195,TCP,good,0.0,0,1
reel,54,1755622153.047323,TCP,good,0.0,0,1
reel,1414,1755622153.047362,TCP,good,0.0,0,1
reel,1414,1755622153.047362,TCP,good,0.0,0,1
reel,349,1755622153.106592,TCP,good,0.0,0,1
reel,113,1755622153.106643,TCP,good,0.0,0,1
reel,1354,1755622153.106658,TCP,good,0.0,0,1
reel,1354,1755622153.106658,TCP,good,0.0,0,1
reel,1354,1755622153.106658,TCP,good,0.0,0,1
reel,1354,1755622153.106658,TCP,good,0.0,0,1
reel,894,1755622153.106658,TCP,good,0.0,0,1
reel,99,1755622153.107773,TCP,good,0.0,0,1
reel,103,1755622153.108274,TCP,good,0.0,0,1
reel,54,1755622153.109473,TCP,good,0.0,0,1
reel,88,1755622153.109473,UDP,good,1.0,0,1
reel,1414,1755622153.109508,TCP,good,0.0,0,1
reel,1414,1755622153.109508,TCP,good,0.0,0,1
reel,54,1755622153.11322,TCP,good,0.0,0,1
reel,1414,1755622153.11325,TCP,good,0.0,0,1
reel,1414,1755622153.11325,TCP,good,0.0,0,1
reel,54,1755622153.154918,TCP,good,0.0,0,1
reel,1414,1755622153.154954,TCP,good,0.0,0,1
reel,1414,1755622153.154954,TCP,good,0.0,0,1
reel,1414,1755622153.154954,TCP,good,0.0,0,1
reel,54,1755622153.186107,TCP,good,0.0,0,1
reel,1414,1755622153.186201,TCP,good,0.0,0,1
reel,1414,1755622153.186201,TCP,good,0.0,0,1
reel,54,1755622153.208555,TCP,good,0.0,0,1
reel,1414,1755622153.208714,TCP,good,0.0,0,1
reel,1414,1755622153.208714,TCP,good,0.0,0,1
reel,54,1755622153.257334,TCP,good,0.0,0,1
reel,1414,1755622153.257401,TCP,good,0.0,0,1
reel,1414,1755622153.257401,TCP,good,0.0,0,1
reel,1292,1755622153.264905,UDP,good,1.0,0,1
reel,96,1755622153.294899,UDP,good,1.0,0,1
reel,91,1755622153.309969,UDP,good,1.0,0,1
reel,54,1755622153.312802,TCP,good,0.0,0,1
reel,1414,1755622153.312838,TCP,good,0.0,0,1
reel,1414,1755622153.312838,TCP,good,0.0,0,1
reel,75,1755622153.355968,TCP,good,0.0,0,1
reel,54,1755622153.365016,TCP,good,0.0,0,1
reel,1414,1755622153.365048,TCP,good,0.0,0,1
reel,54,1755622153.401218,TCP,good,0.0,0,1
reel,1414,1755622153.401284,TCP,good,0.0,0,1
reel,1414,1755622153.401284,TCP,good,0.0,0,1
reel,1292,1755622153.414736,UDP,good,1.0,0,1
reel,96,1755622153.432841,UDP,good,1.0,0,1
reel,66,1755622153.477907,TCP,good,0.0,0,1
reel,54,1755622153.478085,TCP,good,0.0,0,1
reel,1414,1755622153.478105,TCP,good,0.0,0,1
reel,1414,1755622153.478105,TCP,good,0.0,0,1
reel,1292,1755622153.4782,UDP,good,1.0,0,1
reel,54,1755622153.4782,TCP,good,0.0,0,1
reel,86,1755622153.4782,TCP,good,0.0,0,1
reel,86,1755622153.4782,TCP,good,0.0,0,1
